Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY/90,CrdR/90,Fls/90,Fld/90,Off/90,Crs/90,Int/90,TklW/90
126,Tyler Dibling,eng ENG,MF,Everton,19,2006,4,0.5,0,2.75,2.75,0,1.75,1.5,0.75
127,Lucas Digne,fr FRA,DF,Aston Villa,32,1993,20.6,0.15,0,0.68,0.58,0.15,5.24,0.63,1.26
128,Issa Diop,ma MAR,DF,Fulham,28,1997,9.1,0.22,0,0.99,0.33,0,0.11,0.66,0.22
129,El Hadji Malick Diouf,sn SEN,DFMF,West Ham,20,2004,30.1,0.2,0,0.93,0.83,0.07,3.62,1.06,0.63
130,Axel Disasi,fr FRA,DF,West Ham,27,1998,13.9,0.07,0,0.36,0.29,0.07,0,0.86,0.72
131,Matt Doherty,ie IRL,DFMF,Wolves,33,1992,8.7,0.46,0,1.84,0.69,0,0.92,0.8,0.92
132,Jeremy Doku,be BEL,MFFW,Manchester City,23,2002,19.8,0,0,1.16,3.08,0.15,3.13,0.61,0.81
133,Nicolas Dominguez,ar ARG,MF,Nottingham,27,1998,13.1,0.23,0,1.22,0.84,0,1.07,0.46,2.29
134,Gianluigi Donnarumma,it ITA,GK,Manchester City,26,1999,34,0.24,0,0,0.12,0,0,0.03,0
135,Romelle Donovan,eng ENG,FW,Brentford,18,2006,0.5,0,0,4,6,0,4,0,0
136,Patrick Dorgu,dk DEN,MF,Manchester Utd,20,2004,16.1,0.31,0,1.43,2.92,0.43,3.54,0.99,1.86
137,Max Dowman,eng ENG,MF,Arsenal,15,2009,1.7,0,0,1.18,4.12,0,3.53,0.59,1.18
138,Radu Dragusin,ro ROU,DF,Tottenham,23,2002,5.7,0,0,1.58,0.18,0,0.53,2.81,0.53
139,Joel Drakes-Thomas,eng ENG,MF,Crystal Palace,16,2009,0.1,0,0,10,0,0,0,0,10
140,Martin Dubravka,sk SVK,GK,Burnley,36,1989,35,0.03,0,0,0.23,0,0,0,0.03
141,Lewis Dunk,eng ENG,DF,Brighton,33,1991,31.5,0.32,0,0.44,0.38,0.03,0.16,0.95,0.7
142,George Earthy,eng ENG,MF,West Ham,20,2004,0.1,0,0,0,0,0,0,0,0
143,Odsonne Edouard,fr FRA,FW,Crystal Palace,27,1998,0,0,0,0,1,0,0,0,1
144,Tom Edozie,eng ENG,MF,Wolves,19,2006,0.2,0,0,0,0,0,0,0,0
145,Marcus Edwards,eng ENG,MFFW,Burnley,26,1998,11.9,0,0,0.59,1.51,0.08,1.6,0.25,0.5
146,Hjalmar Ekdal,se SWE,DF,Burnley,26,1998,17.1,0,0,0.29,0.41,0.12,0.06,0.7,0.99
147,Hugo Ekitike,fr FRA,FW,Liverpool,23,2002,20,0,0,1.75,0.6,0.5,0.35,0.2,0.35
148,Anthony Elanga,se SWE,FWMF,Newcastle,23,2002,14.7,0,0,0.54,1.7,0.14,5.65,0.2,0.75
149,Melker Ellborg,se SWE,GK,Sunderland,22,2003,3,0,0,0,0.33,0,0,0,0
150,Harvey Elliott,eng ENG,MF,Aston Villa,22,2003,1.2,0,0,0,1.67,0,2.5,0,0
151,Harvey Elliott,eng ENG,FWMF,Liverpool,22,2003,0,0,0,0,0,0,0,0,0
152,Wataru Endo,jp JPN,DF,Liverpool,32,1993,1.9,0.53,0,1.05,1.58,0,1.58,0,1.58
153,Romain Esse,eng ENG,MF,Crystal Palace,20,2005,0.5,0,0,4,4,0,4,0,2
154,Dario Essugo,pt POR,MF,Chelsea,20,2005,0.3,6.67,0,10,3.33,0,0,0,10
155,Maxime Esteve,fr FRA,DF,Burnley,23,2002,32.6,0.03,0,0.4,0.37,0,0.18,1.13,0.83
156,Evanilson,br BRA,FW,Bournemouth,25,1999,30.5,0.07,0,0.85,1.21,0.92,0.1,0.2,0.16
157,Eberechi Eze,eng ENG,MF,Crystal Palace,27,1998,0.9,0,0,2.22,1.11,0,4.44,0,1.11
158,Eberechi Eze,eng ENG,MFFW,Arsenal,27,1998,20.1,0.05,0,0.7,1.89,0.05,0.4,0.55,0.65
159,Bruno Fernandes,pt POR,MF,Manchester Utd,30,1994,34,0.15,0,0.71,1.03,0.12,5.32,0.62,1.03
160,Mateus Fernandes,pt POR,MF,West Ham,21,2004,33.5,0.21,0,1.46,1.46,0,1.52,1.07,2
161,Enzo Fernendez,ar ARG,MF,Chelsea,24,2001,34.6,0.29,0,1.04,1.3,0.03,2.57,0.58,0.69
