Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
162,Zian Flemming,nl NED,FW,Burnley,26,1998,19.7,11,52,21,40.4,2.65,1.07,0.21,0.52,2,2
163,Jack Fletcher,eng ENG,MF,Manchester Utd,18,2007,1.2,0,1,0,0,0.83,0,0,,0,0
164,Tyler Fletcher,sct SCO,MF,Manchester Utd,18,2007,0.2,0,0,0,,0,0,,,0,0
165,Phil Foden,eng ENG,MF,Manchester City,25,2000,23.2,7,55,19,34.5,2.37,0.82,0.13,0.37,0,0
166,Wesley Fofana,fr FRA,DF,Chelsea,24,2000,19.1,0,8,1,12.5,0.42,0.05,0,0,0,0
167,Lyle Foster,za RSA,FWMF,Burnley,24,2000,15.2,3,20,6,30,1.31,0.39,0.15,0.5,0,0
168,Tyler Fredricson,eng ENG,DF,Manchester Utd,20,2005,0,0,0,0,,0,0,,,0,0
169,Jeremie Frimpong,nl NED,DFMF,Liverpool,24,2000,11.6,0,10,2,20,0.87,0.17,0,0,0,0
170,Niclas Fullkrug,de GER,FW,West Ham,32,1993,4.5,0,9,3,33.3,1.98,0.66,0,0,0,0
171,Kaye Furo,be BEL,FW,Brentford,18,2007,0,0,0,0,,0,0,,,0,0
172,Cody Gakpo,nl NED,MFFW,Liverpool,26,1999,30.4,7,87,21,24.1,2.86,0.69,0.08,0.33,0,0
173,Conor Gallagher,eng ENG,MF,Tottenham,25,2000,13.2,1,11,4,36.4,0.84,0.3,0.09,0.25,0,0
174,Ben Gannon-Doak,sct SCO,MF,Bournemouth,19,2005,1.3,0,3,1,33.3,2.39,0.8,0,0,0,0
175,Andres Garcia,es ESP,DF,Aston Villa,22,2003,1,0,0,0,,0,0,,,0,0
176,Alejandro Garnacho,ar ARG,MF,Chelsea,21,2004,14.1,1,33,7,21.2,2.34,0.5,0.03,0.14,0,0
177,James Garner,eng ENG,MFDF,Everton,24,2001,37.9,2,45,14,31.1,1.19,0.37,0.04,0.14,0,0
178,Lutsharel Geertruida,nl NED,DFMF,Sunderland,25,2000,18.8,0,11,3,27.3,0.58,0.16,0,0,0,0
179,Tyrique George,eng ENG,FW,Chelsea,19,2006,1.6,0,3,2,66.7,1.86,1.24,0,0,0,0
180,Tyrique George,eng ENG,MF,Everton,19,2006,2.4,0,7,3,42.9,2.89,1.24,0,0,0,0
181,Morgan Gibbs-White,eng ENG,MF,Nottingham,25,2000,34.4,15,83,32,38.6,2.41,0.93,0.18,0.47,1,1
182,Jamie Gittens,eng ENG,MF,Chelsea,20,2004,5.5,0,10,2,20,1.82,0.36,0,0,0,0
183,Wilfried Gnonto,it ITA,FW,Leeds United,21,2003,6,0,10,0,0,1.68,0,0,,0,0
184,Angel Gomes,eng ENG,MFFW,Wolves,24,2000,5.1,0,6,2,33.3,1.17,0.39,0,0,0,0
185,Joao Gomes,br BRA,MF,Wolves,24,2001,31.4,1,19,7,36.8,0.6,0.22,0.05,0.14,0,0
186,Rodrigo Gomes,pt POR,MFFW,Wolves,22,2003,10.7,3,20,6,30,1.87,0.56,0.15,0.5,0,0
187,Toti Gomes,pt POR,DF,Wolves,26,1999,15.8,0,5,2,40,0.32,0.13,0,0,0,0
188,Diego Gomez,py PAR,MFFW,Brighton,22,2003,23.6,5,42,14,33.3,1.78,0.59,0.12,0.36,0,0
189,Joe Gomez,eng ENG,DF,Liverpool,28,1997,6.7,0,5,1,20,0.74,0.15,0,0,0,0
190,Nicolas Gonzalez,es ESP,MF,Manchester City,23,2002,17.4,1,14,2,14.3,0.8,0.11,0.07,0.5,0,0
191,Anthony Gordon,eng ENG,FW,Newcastle,24,2001,19.9,6,48,20,41.7,2.41,1,0.13,0.3,3,3
192,Ryan Gravenberch,nl NED,MF,Liverpool,23,2002,33.2,5,38,13,34.2,1.14,0.39,0.13,0.38,0,0
193,Archie Gray,eng ENG,MFDF,Tottenham,19,2006,16.4,2,11,5,45.5,0.67,0.3,0.18,0.4,0,0
194,Jack Grealish,eng ENG,MF,Everton,29,1995,18.1,2,26,8,30.8,1.44,0.44,0.08,0.25,0,0
195,Pascal Gross,de GER,MF,Brighton,34,1991,18.2,1,18,9,50,0.99,0.5,0.06,0.11,0,0
196,Brajan Gruda,de GER,MF,Brighton,21,2004,8,1,16,6,37.5,2,0.75,0.06,0.17,0,0
197,Ilia Gruev,bg BUL,MF,Leeds United,25,2000,14.7,0,7,1,14.3,0.48,0.07,0,0,0,0
198,Gabriel Gudmundsson,se SWE,DFMF,Leeds United,26,1999,29.2,0,18,3,16.7,0.62,0.1,0,0,0,0
