Player,Squad,Pos,Min,90s,Gls90,Ast90,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,CrdY/90,CrdR/90,Fls/90,Fld/90,Off/90,Crs/90,Int/90,TklW/90,PrimaryPos
Malo Gusto,Chelsea,DFMF,2261,25.1,0.08,0.12,50.0,0.48,0.24,0.17,0.33,0.2,0.04,0.8,0.8,0.04,2.31,1.2,0.92,DF
Josko Gvardiol,Manchester City,DF,1372,15.2,0.13,0.13,35.3,1.12,0.39,0.12,0.33,0.13,0.0,1.05,0.46,0.0,0.13,1.05,0.86,DF
Viktor Gyokeres,Arsenal,FW,2224,24.7,0.57,0.04,40.0,2.23,0.89,0.25,0.64,0.2,0.0,1.42,1.26,0.16,0.32,0.04,0.2,FW
Erling Haaland,Manchester City,FW,2953,32.8,0.82,0.24,46.8,3.84,1.8,0.21,0.46,0.06,0.0,0.73,0.76,0.15,0.09,0.12,0.21,FW
Lewis Hall,Newcastle,DF,2181,24.2,0.04,0.04,24.0,1.03,0.25,0.04,0.17,0.17,0.0,0.7,1.65,0.0,4.21,1.2,1.28,DF
Quilindschy Hartman,Burnley,DF,1825,20.3,0.0,0.25,33.3,0.44,0.15,0.0,0.0,0.05,0.0,0.64,0.15,0.05,3.65,1.58,1.53,DF
Jorrel Hato,Chelsea,DF,1148,12.8,0.0,0.0,0.0,0.31,0.0,0.0,,0.55,0.0,1.17,0.16,0.0,0.55,1.33,1.48,DF
Ayden Heaven,Manchester Utd,DF,924,10.3,0.0,0.1,0.0,0.29,0.0,0.0,,0.19,0.0,0.68,0.87,0.0,0.1,0.1,1.26,DF
Jan Paul van Hecke,Brighton,DF,3210,35.7,0.08,0.08,43.5,0.64,0.28,0.13,0.3,0.25,0.0,0.76,1.2,0.11,0.64,1.26,0.87,DF
Hwang Hee-chan,Wolves,FWMF,1446,16.1,0.12,0.12,31.6,1.18,0.37,0.11,0.33,0.31,0.0,1.74,1.12,0.56,1.18,0.75,0.25,FW
Dean Henderson,Crystal Palace,GK,3330,37.0,0.0,0.0,,0.0,0.0,,,0.14,0.0,0.05,0.14,0.0,0.0,0.03,0.0,GK
Jordan Henderson,Brentford,MF,1919,21.3,0.05,0.14,16.7,0.28,0.05,0.17,1.0,0.28,0.0,0.61,0.33,0.05,2.25,0.75,0.66,MF
Rico Henry,Brentford,DF,1328,14.8,0.0,0.07,0.0,0.34,0.0,0.0,,0.14,0.0,1.01,1.15,0.14,1.76,0.47,0.74,DF
Mads Hermansen,West Ham,GK,1620,18.0,0.0,0.06,,0.0,0.0,,,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,GK
James Hill,Bournemouth,DF,2106,23.4,0.0,0.13,16.7,0.51,0.09,0.0,0.0,0.21,0.0,0.73,0.56,0.09,0.47,1.58,0.85,DF
Piero Hincapie,Arsenal,DF,1792,19.9,0.05,0.1,66.7,0.15,0.1,0.33,0.5,0.1,0.0,0.9,0.7,0.05,1.66,1.31,1.31,DF
Jack Hinshelwood,Brighton,MF,1741,19.3,0.21,0.16,40.5,1.91,0.78,0.11,0.27,0.0,0.0,1.66,0.62,0.1,0.36,0.31,0.67,MF
Callum Hudson-Odoi,Nottingham,MF,1841,20.5,0.15,0.2,33.3,1.47,0.49,0.1,0.3,0.0,0.0,0.59,0.59,0.1,4.44,0.39,0.34,MF
Will Hughes,Crystal Palace,MF,1571,17.5,0.0,0.0,0.0,0.97,0.0,0.0,,0.4,0.0,1.37,1.43,0.0,2.57,0.86,0.91,MF
Trai Hume,Sunderland,DFMF,3036,33.7,0.06,0.03,20.6,1.01,0.21,0.06,0.29,0.27,0.0,0.89,1.13,0.09,2.61,0.74,1.36,DF
Bashir Humphreys,Burnley,DFMF,1578,17.5,0.0,0.0,33.3,0.51,0.17,0.0,0.0,0.34,0.0,0.8,0.57,0.11,0.97,0.63,0.97,DF
Omari Hutchinson,Nottingham,MF,1688,18.8,0.05,0.27,44.0,1.33,0.59,0.04,0.09,0.05,0.0,1.22,1.28,0.43,7.07,0.59,0.59,MF
